comment,toxic,threat,insult,discrimination,clean_comment,tokens
You gotta love when they send a noted racist anti-Semite to do this kinda crap.,1,0,1,1,you gotta love when they send a noted racist antisemite to do this kinda crap,"['gotta', 'love', 'send', 'noted', 'racist', 'antisemite', 'kinda', 'crap']"
"There was NEVER a debate in the Church about the Deity of Jesus except by a handful of misguided cultists. The first verse in John's Gospel answers any question of the so-called debate. IN THE BEGINNING WAS THE WORD AND THE WORD WAS GOD. Even a rock can understand that John is saying the LOGOS (the Word) WAS GOD. Who is the LOGOS - JESUS THE LOGOS BECOME FLESH. If that isn't enough then just look at Hebrews 1:8 But about the Son he (God) says, Your throne O GOD In other words God himself calls the Son, Jesus GOD. Case Closed End of Debate. Now for the 4 Gospels. There were always 4 and only 4 Gospels. Matthew (Lion), Mark (Lamb), Luke (Man) & John (Eagle) based on the four faces of the Cherubim before God (Ezek 1:4-14). So simple yet so hard when some chose to read Dan Brown & History Chanel fiction as if it were fact.69.14.96.9",0,0,0,0,there was never a debate in the church about the deity of jesus except by a handful of misguided cultists the first verse in johns gospel answers any question of the socalled debate in the beginning was the word and the word was god even a rock can understand that john is saying the logos the word was god who is the logos  jesus the logos become flesh if that isnt enough then just look at hebrews 18 but about the son he god says your throne o god in other words god himself calls the son jesus god case closed end of debate now for the 4 gospels there were always 4 and only 4 gospels matthew lion mark lamb luke man  john eagle based on the four faces of the cherubim before god ezek 1414 so simple yet so hard when some chose to read dan brown  history chanel fiction as if it were fact6914969,"['debate', 'church', 'deity', 'jesus', 'handful', 'misguided', 'cultists', 'verse', 'johns', 'gospel', 'answers', 'question', 'socalled', 'debate', 'beginning', 'word', 'word', 'god', 'rock', 'understand', 'john', 'saying', 'logos', 'word', 'god', 'logos', 'jesus', 'logos', 'flesh', 'isnt', 'just', 'look', 'hebrews', '18', 'son', 'god', 'says', 'throne', 'o', 'god', 'words', 'god', 'calls', 'son', 'jesus', 'god', 'case', 'closed', 'end', 'debate', '4', 'gospels', '4', '4', 'gospels', 'matthew', 'lion', 'mark', 'lamb', 'luke', 'man', 'john', 'eagle', 'based', 'faces', 'cherubim', 'god', 'ezek', '1414', 'simple', 'hard', 'chose', 'read', 'dan', 'brown', 'history', 'chanel', 'fiction', 'fact6914969']"
"Please stop. If you continue to ignore our policies by introducing inappropriate pages to Wikipedia, you will be blocked.",0,1,0,0,please stop if you continue to ignore our policies by introducing inappropriate pages to wikipedia you will be blocked,"['stop', 'continue', 'ignore', 'policies', 'introducing', 'inappropriate', 'pages', 'wikipedia', 'blocked']"
"Hi, likewise. We need as many South Africans as possible on this place to ensure our lovely country doesn't get under-represented or worse, misrepresented. One extreme example is how the article on Apartheid became another Israel-Palestine conflict page, virtually ignoring what Apartheid really was, a South African system, and part of our history. 
So, yep, it's great to see another South African on Wikipedia!
 19:25, 23 Jul 2004 (UTC)",0,0,0,0,"hi likewise we need as many south africans as possible on this place to ensure our lovely country doesnt get underrepresented or worse misrepresented one extreme example is how the article on apartheid became another israelpalestine conflict page virtually ignoring what apartheid really was a south african system and part of our history 
so yep its great to see another south african on wikipedia
 1925 23 jul 2004 utc","['hi', 'likewise', 'need', 'south', 'africans', 'possible', 'place', 'ensure', 'lovely', 'country', 'doesnt', 'underrepresented', 'worse', 'misrepresented', 'extreme', 'example', 'article', 'apartheid', 'israelpalestine', 'conflict', 'page', 'virtually', 'ignoring', 'apartheid', 'really', 'south', 'african', 'history', 'yep', 'great', 'south', 'african', 'wikipedia', '1925', '23', 'jul', '2004', 'utc']"
"Come on, unblock me, idiot! I am telling the truth!",1,0,1,0,come on unblock me idiot i am telling the truth,"['come', 'unblock', 'idiot', 'telling', 'truth']"
I hate you. U are a homosapian. Breasts,1,0,1,1,i hate you u are a homosapian breasts,"['hate', 'u', 'homosapian', 'breasts']"
"Familicide==
I just created a new page on Familicide but it quickly became a candidate for speedy deletion due to its limited, dictionary-definition content.  It is my wish that the psychology and crime scholars among you help me expand the article's content so that it will no longer be considered beneath Wikipedia standards.  Thank you.  

==",0,0,0,0,"familicide
i just created a new page on familicide but it quickly became a candidate for speedy deletion due to its limited dictionarydefinition content  it is my wish that the psychology and crime scholars among you help me expand the articles content so that it will no longer be considered beneath wikipedia standards  thank you  

","['familicide', 'just', 'created', 'new', 'page', 'familicide', 'quickly', 'candidate', 'speedy', 'deletion', 'limited', 'dictionarydefinition', 'content', 'wish', 'psychology', 'crime', 'scholars', 'help', 'expand', 'articles', 'content', 'longer', 'considered', 'beneath', 'wikipedia', 'standards', 'thank']"
"you're so idi.o.t, so st.u.p.id guy, fu.c.k.i.n.g portuguese, i ha.te the portugueses",1,0,1,1,youre so idiot so stupid guy fucking portuguese i hate the portugueses,"['youre', 'idiot', 'stupid', 'guy', 'fucking', 'portuguese', 'hate', 'portugueses']"
"You peice of irish scum 

How dare you talk shit about my country? Fuck you, stupid shamrock bitch, I hope the next genocide we serve on you wipes your entire disgusting, repulsive race out. Fucking micks, you shouldn't even be alive after the first attempts, hopefully next time you wont be. Die. 92.24.85.159",1,1,1,0,"you peice of irish scum 

how dare you talk shit about my country fuck you stupid shamrock bitch i hope the next genocide we serve on you wipes your entire disgusting repulsive race out fucking micks you shouldnt even be alive after the first attempts hopefully next time you wont be die 922485159","['peice', 'irish', 'scum', 'dare', 'talk', 'shit', 'country', 'fuck', 'stupid', 'shamrock', 'bitch', 'hope', 'genocide', 'serve', 'wipes', 'entire', 'disgusting', 'repulsive', 'race', 'fucking', 'micks', 'shouldnt', 'alive', 'attempts', 'hopefully', 'time', 'wont', 'die', '922485159']"
"Agreed, many a conversation with editors who insist on listing anything like a weblog or timeline chronology. DEFINATELY needs a clean up, where to begin then? (i suggested a wait till this is off, ITN, though its been 2 days without an update meaning itll be longer before this slip down from #2 to get off)",0,0,0,0,agreed many a conversation with editors who insist on listing anything like a weblog or timeline chronology definately needs a clean up where to begin then i suggested a wait till this is off itn though its been 2 days without an update meaning itll be longer before this slip down from  to get off,"['agreed', 'conversation', 'editors', 'insist', 'listing', 'like', 'weblog', 'timeline', 'chronology', 'definately', 'needs', 'clean', 'begin', 'suggested', 'wait', 'till', 'itn', '2', 'days', 'update', 'meaning', 'itll', 'longer', 'slip']"
"""

 Bank of America Anonymous 

Anonymous

On March 14, 2011, one or more members of the decentralized collective Anonymous began releasing emails it said were obtained from Bank of America. According to the group (along with recent federal investigations by State Attorneys General, the New York Department of Finance, and the Consumer Financial Protection Bureau)  the emails document """"corruption and fraud"""" relating to the issue of """"large scale and repeated"""" force placed insurance abuse accelerating home foreclosures and automobile repossessions nationwide.  The source, identified publicly as Brian Penny, is a former LPI Specialist from Balboa Insurance, a firm which used to be owned by the bank, but was sold to Australian Reinsurance Company QBE, who subsequently branded the company QBE First in 2011  in order for the bank to obtain the funds necessary to pay back their Federal loans.  

I would like to understand what why this article revision, which provides verifiable, cited, and thoroughly researched article continues being removed when it is cited thoroughly. Thank you kindly,   """,0,0,0,0,"

 bank of america anonymous 

anonymous

on march 14 2011 one or more members of the decentralized collective anonymous began releasing emails it said were obtained from bank of america according to the group along with recent federal investigations by state attorneys general the new york department of finance and the consumer financial protection bureau  the emails document corruption and fraud relating to the issue of large scale and repeated force placed insurance abuse accelerating home foreclosures and automobile repossessions nationwide  the source identified publicly as brian penny is a former lpi specialist from balboa insurance a firm which used to be owned by the bank but was sold to australian reinsurance company qbe who subsequently branded the company qbe first in 2011  in order for the bank to obtain the funds necessary to pay back their federal loans  

i would like to understand what why this article revision which provides verifiable cited and thoroughly researched article continues being removed when it is cited thoroughly thank you kindly   ","['bank', 'america', 'anonymous', 'anonymous', 'march', '14', '2011', 'members', 'decentralized', 'collective', 'anonymous', 'began', 'releasing', 'emails', 'said', 'obtained', 'bank', 'america', 'according', 'group', 'recent', 'federal', 'investigations', 'state', 'attorneys', 'general', 'new', 'york', 'department', 'finance', 'consumer', 'financial', 'protection', 'bureau', 'emails', 'document', 'corruption', 'fraud', 'relating', 'issue', 'large', 'scale', 'repeated', 'force', 'placed', 'insurance', 'abuse', 'accelerating', 'home', 'foreclosures', 'automobile', 'repossessions', 'nationwide', 'source', 'identified', 'publicly', 'brian', 'penny', 'lpi', 'specialist', 'balboa', 'insurance', 'firm', 'used', 'owned', 'bank', 'sold', 'australian', 'reinsurance', 'company', 'qbe', 'subsequently', 'branded', 'company', 'qbe', '2011', 'order', 'bank', 'obtain', 'funds', 'necessary', 'pay', 'federal', 'loans', 'like', 'understand', 'article', 'revision', 'provides', 'verifiable', 'cited', 'thoroughly', 'researched', 'article', 'continues', 'removed', 'cited', 'thoroughly', 'thank', 'kindly']"
YOUR A FUCKING FAGGOT YOU INTERNET THUG GET OFF FEDERLINES NUTS,1,0,1,1,your a fucking faggot you internet thug get off federlines nuts,"['fucking', 'faggot', 'internet', 'thug', 'federlines', 'nuts']"
Please put the gay jokes back on the queer page,1,0,0,0,please put the gay jokes back on the queer page,"['gay', 'jokes', 'queer', 'page']"
"CambridgeBayWeather, I fucked your mama, man 

lick a dick, shithead",1,0,1,0,"cambridgebayweather i fucked your mama man 

lick a dick shithead","['cambridgebayweather', 'fucked', 'mama', 'man', 'lick', 'dick', 'shithead']"
".why did he laugh at my block did he think it was funny? i guess he wasnt my friend just some guy that liked to laugh at me behind my back. those guys the terrible four[ i am not saying thier names] just plain humiliated me,god it makes me mad but i cant do a damm thing about it so guys if you know that i am taking about you then plese laugh at me because my pride has been shredded",0,0,0,0,why did he laugh at my block did he think it was funny i guess he wasnt my friend just some guy that liked to laugh at me behind my back those guys the terrible four i am not saying thier names just plain humiliated megod it makes me mad but i cant do a damm thing about it so guys if you know that i am taking about you then plese laugh at me because my pride has been shredded,"['did', 'laugh', 'block', 'did', 'think', 'funny', 'guess', 'wasnt', 'friend', 'just', 'guy', 'liked', 'laugh', 'guys', 'terrible', 'saying', 'thier', 'names', 'just', 'plain', 'humiliated', 'megod', 'makes', 'mad', 'damm', 'thing', 'guys', 'know', 'taking', 'plese', 'laugh', 'pride', 'shredded']"
"How about this? Instead, block Kinu for being such a Nazi and blocking me for no damn reason what-so-fucking-ever!!! 71.64.6.46",1,0,1,1,how about this instead block kinu for being such a nazi and blocking me for no damn reason whatsofuckingever 7164646,"['instead', 'block', 'kinu', 'nazi', 'blocking', 'damn', 'reason', 'whatsofuckingever', '7164646']"
"THIS IS AWFUL, JUST AWFUL!!! ALL GERMANS ARE MURDERERS THE BLOOD OF 7 MILLION JEWS IS ON YOUR HANDS 7 MILLION GODS CHOSEN FOLK YOU ARE ALL GOING TO HELL BYE BYE DUMKOPFS!!!!",1,0,1,1,this is awful just awful all germans are murderers the blood of 7 million jews is on your hands 7 million gods chosen folk you are all going to hell bye bye dumkopfs,"['awful', 'just', 'awful', 'germans', 'murderers', 'blood', '7', 'million', 'jews', 'hands', '7', 'million', 'gods', 'chosen', 'folk', 'going', 'hell', 'bye', 'bye', 'dumkopfs']"
"You're a stupid cunt 

Fuck you dumb arse, your mum has a hairy cunt and I hope and pray that you die, no, fuck that, I wish you would die, if I had three wishes, one of them would be to have you dead, and the others would be so that everyone you knew hated your cunt like face.",1,1,1,1,"youre a stupid cunt 

fuck you dumb arse your mum has a hairy cunt and i hope and pray that you die no fuck that i wish you would die if i had three wishes one of them would be to have you dead and the others would be so that everyone you knew hated your cunt like face","['youre', 'stupid', 'cunt', 'fuck', 'dumb', 'arse', 'mum', 'hairy', 'cunt', 'hope', 'pray', 'die', 'fuck', 'wish', 'die', 'wishes', 'dead', 'knew', 'hated', 'cunt', 'like', 'face']"
"I reverted your edits again. They *have* been listed in that section for MONTHS, way before you even knew what wikipedia was. Removing them now because you don't agree is probably not a good idea. timecop",0,0,0,0,i reverted your edits again they have been listed in that section for months way before you even knew what wikipedia was removing them now because you dont agree is probably not a good idea timecop,"['reverted', 'edits', 'listed', 'section', 'months', 'way', 'knew', 'wikipedia', 'removing', 'dont', 'agree', 'probably', 'good', 'idea', 'timecop']"
This page was created using Rendille-Boni languages as a model. (  ),0,0,0,0,this page was created using rendilleboni languages as a model   ,"['page', 'created', 'using', 'rendilleboni', 'languages', 'model']"
"Say what? 
TAB 
Bitch, are you for real? Motherfucker comes up and removes my motherfucking comments? Son of a bitch son, that's not right at all. Fuck, that's not even right in Cuba. Someone needs to learn their ass some motherfucking restraint and common sense. Bitchass niggas can't be coming around removing people's opinions and shit, that's the motherfucking gestapo's job. If motherfuckers think this the way to do things right, than you motherfuckers need to step off and learn some shit, cause the way the to do shit right, ain't erasing the fucking words.  

 You motherfucking crazy son?  You wearing blacked glasses?  I just tell you you're being the motherfucking thought police and you keep motherfucking doing it?  Shit, that's not right.  Maybe your bitchass needs to chill the fuck out some time.  Christ on crutches, it's fucking words kid, they ain't fucking hurting you.  You fucking bleeding son?  I didn't fucking think so.",1,0,1,1,"say what 
tab 
bitch are you for real motherfucker comes up and removes my motherfucking comments son of a bitch son thats not right at all fuck thats not even right in cuba someone needs to learn their ass some motherfucking restraint and common sense bitchass niggas cant be coming around removing peoples opinions and shit thats the motherfucking gestapos job if motherfuckers think this the way to do things right than you motherfuckers need to step off and learn some shit cause the way the to do shit right aint erasing the fucking words  

 you motherfucking crazy son  you wearing blacked glasses  i just tell you youre being the motherfucking thought police and you keep motherfucking doing it  shit thats not right  maybe your bitchass needs to chill the fuck out some time  christ on crutches its fucking words kid they aint fucking hurting you  you fucking bleeding son  i didnt fucking think so","['say', 'tab', 'bitch', 'real', 'motherfucker', 'comes', 'removes', 'motherfucking', 'comments', 'son', 'bitch', 'son', 'thats', 'right', 'fuck', 'thats', 'right', 'cuba', 'needs', 'learn', 'ass', 'motherfucking', 'restraint', 'common', 'sense', 'bitchass', 'niggas', 'coming', 'removing', 'peoples', 'opinions', 'shit', 'thats', 'motherfucking', 'gestapos', 'job', 'motherfuckers', 'think', 'way', 'things', 'right', 'motherfuckers', 'need', 'step', 'learn', 'shit', 'cause', 'way', 'shit', 'right', 'aint', 'erasing', 'fucking', 'words', 'motherfucking', 'crazy', 'son', 'wearing', 'blacked', 'glasses', 'just', 'tell', 'youre', 'motherfucking', 'thought', 'police', 'motherfucking', 'doing', 'shit', 'thats', 'right', 'maybe', 'bitchass', 'needs', 'chill', 'fuck', 'time', 'christ', 'crutches', 'fucking', 'words', 'kid', 'aint', 'fucking', 'hurting', 'fucking', 'bleeding', 'son', 'didnt', 'fucking', 'think']"
"love 

hi may i have hershys ?",0,0,0,0,"love 

hi may i have hershys ","['love', 'hi', 'hershys']"
", 21 September 2009 (UTC)
Thank you for the notice.  18:51",0,0,0,0," 21 september 2009 utc
thank you for the notice  1851","['21', 'september', '2009', 'utc', 'thank', 'notice', '1851']"
"Well I have looked at  reference No 3 and it is some American dictionary. Ajay, since when has such a reference become an authoritative statement on the origins of Singh let alone any other historical fact? I see no basis for you suggestion.",0,0,0,0,well i have looked at  reference no 3 and it is some american dictionary ajay since when has such a reference become an authoritative statement on the origins of singh let alone any other historical fact i see no basis for you suggestion,"['looked', 'reference', '3', 'american', 'dictionary', 'ajay', 'reference', 'authoritative', 'statement', 'origins', 'singh', 'let', 'historical', 'fact', 'basis', 'suggestion']"
"Of course, now you're in a dilemma, aren't you?  Because if you report me, it'll mean the accusations I'm leveling get looked at, and even if you can make them look bad, you do not want that even getting considered.  So what are you going to do?  Try and intimidate me from airing the scheme you guys are using, and hope this never sees the light of admin day?  Try and get me banned for some frivolous technicality and hope the admins won't listen to me afterwards as a result?  Try and get this deleted somehow and covered up before anyone sees?  I can only see so many options for you, and am expecting all of them.",0,0,0,0,of course now youre in a dilemma arent you  because if you report me itll mean the accusations im leveling get looked at and even if you can make them look bad you do not want that even getting considered  so what are you going to do  try and intimidate me from airing the scheme you guys are using and hope this never sees the light of admin day  try and get me banned for some frivolous technicality and hope the admins wont listen to me afterwards as a result  try and get this deleted somehow and covered up before anyone sees  i can only see so many options for you and am expecting all of them,"['course', 'youre', 'dilemma', 'arent', 'report', 'itll', 'mean', 'accusations', 'im', 'leveling', 'looked', 'make', 'look', 'bad', 'want', 'getting', 'considered', 'going', 'try', 'intimidate', 'airing', 'scheme', 'guys', 'using', 'hope', 'sees', 'light', 'admin', 'day', 'try', 'banned', 'frivolous', 'technicality', 'hope', 'admins', 'wont', 'listen', 'result', 'try', 'deleted', 'covered', 'sees', 'options', 'expecting']"
"""
Wow, thanks for the barnstar! My second one in a week. ) '''16 """,0,0,0,0,"
wow thanks for the barnstar my second one in a week  16 ","['wow', 'thanks', 'barnstar', 'second', 'week', '16']"
fuck u u stupid fagget block me i dare u,1,0,1,0,fuck u u stupid fagget block me i dare u,"['fuck', 'u', 'u', 'stupid', 'fagget', 'block', 'dare', 'u']"
"Sesond attack for ToonLucas22
, you're a fucking shit, stop blocking me, Fuck you, since my account named Morty Smith 2.0 was blocked.",1,0,1,0,"sesond attack for toonlucas22
 youre a fucking shit stop blocking me fuck you since my account named morty smith 20 was blocked","['sesond', 'attack', 'toonlucas22', 'youre', 'fucking', 'shit', 'stop', 'blocking', 'fuck', 'account', 'named', 'morty', 'smith', '20', 'blocked']"
"Jasveer Jatia 

Jasveer Jatia, an inspiration to all..... He was interseted in web since he was 14 years. At the age of 16 he created his own website free with his own html, php & javascript codes. His aim is to become a web engineer & developer and also at the same time a software/game engineer",0,0,0,0,"jasveer jatia 

jasveer jatia an inspiration to all he was interseted in web since he was 14 years at the age of 16 he created his own website free with his own html php  javascript codes his aim is to become a web engineer  developer and also at the same time a softwaregame engineer","['jasveer', 'jatia', 'jasveer', 'jatia', 'inspiration', 'interseted', 'web', '14', 'years', 'age', '16', 'created', 'website', 'free', 'html', 'php', 'javascript', 'codes', 'aim', 'web', 'engineer', 'developer', 'time', 'softwaregame', 'engineer']"
"?

UNBLOCK ME!!!

EURYALUS, YOU ASSHOLE! SANDBAGGER!!!

UNBLOCK ME ALREADY!!!",1,0,1,0,"

unblock me

euryalus you asshole sandbagger

unblock me already","['unblock', 'euryalus', 'asshole', 'sandbagger', 'unblock']"
I know it's almost a year after the fact...but the fact is most banks do that. Happened to me when I was at another bank.,0,0,0,0,i know its almost a year after the factbut the fact is most banks do that happened to me when i was at another bank,"['know', 'year', 'factbut', 'fact', 'banks', 'happened', 'bank']"
"""

What a curious block. I restored the original sources about those figures because somebody recently replaced them with sources that do not even talk about those figures. And I included the source about the 3 million Portuguese in São Paulo, because the user """"Ninguém"""" included a """"fact tag"""" there. Curiously, the user """"Ninguém"""" reverted the original sources I included. Then, he's the one who started the edit-warring.

Isn't """"vandalism"""" to reverte an user that replaced a """"fact tag"""" with a source and restored the original sources that have been there since a long time, but somebody replaced them? I gave the source about the Portuguese, and """"Ninguém"""" replace the source once again with a """"fact tag"""" and he also reverted to the """"new"""" sources which are from a not reliable site, including the one about the Portuguese which do not even talk about the figure. 

I included the source which does talk about 3 million Portuguese and it was reverted by """"Ninguém"""" without any explaination. Isn't vandalism to erase a source and replace it with a """"fact tag""""? If this is not vandalism, if it's a normal edit to erase sources and replace them with fact tags, please tell me.   """,0,0,0,0,"

what a curious block i restored the original sources about those figures because somebody recently replaced them with sources that do not even talk about those figures and i included the source about the 3 million portuguese in são paulo because the user ninguém included a fact tag there curiously the user ninguém reverted the original sources i included then hes the one who started the editwarring

isnt vandalism to reverte an user that replaced a fact tag with a source and restored the original sources that have been there since a long time but somebody replaced them i gave the source about the portuguese and ninguém replace the source once again with a fact tag and he also reverted to the new sources which are from a not reliable site including the one about the portuguese which do not even talk about the figure 

i included the source which does talk about 3 million portuguese and it was reverted by ninguém without any explaination isnt vandalism to erase a source and replace it with a fact tag if this is not vandalism if its a normal edit to erase sources and replace them with fact tags please tell me   ","['curious', 'block', 'restored', 'original', 'sources', 'figures', 'somebody', 'recently', 'replaced', 'sources', 'talk', 'figures', 'included', 'source', '3', 'million', 'portuguese', 'são', 'paulo', 'user', 'ninguém', 'included', 'fact', 'tag', 'curiously', 'user', 'ninguém', 'reverted', 'original', 'sources', 'included', 'hes', 'started', 'editwarring', 'isnt', 'vandalism', 'reverte', 'user', 'replaced', 'fact', 'tag', 'source', 'restored', 'original', 'sources', 'long', 'time', 'somebody', 'replaced', 'gave', 'source', 'portuguese', 'ninguém', 'replace', 'source', 'fact', 'tag', 'reverted', 'new', 'sources', 'reliable', 'site', 'including', 'portuguese', 'talk', 'figure', 'included', 'source', 'does', 'talk', '3', 'million', 'portuguese', 'reverted', 'ninguém', 'explaination', 'isnt', 'vandalism', 'erase', 'source', 'replace', 'fact', 'tag', 'vandalism', 'normal', 'edit', 'erase', 'sources', 'replace', 'fact', 'tags', 'tell']"
"Discussion 

Hey. I just wanted to say that, in a discussion that I think was overall filled with a lot of silly arguing and unjustified bittnerness, the back and forth we just had at Talk:Worcester was refreshing in its civility and for what I feel was a pretty rational discussion of the points. Thanks for that! (let's chat)",0,0,0,0,"discussion 

hey i just wanted to say that in a discussion that i think was overall filled with a lot of silly arguing and unjustified bittnerness the back and forth we just had at talkworcester was refreshing in its civility and for what i feel was a pretty rational discussion of the points thanks for that lets chat","['discussion', 'hey', 'just', 'wanted', 'say', 'discussion', 'think', 'overall', 'filled', 'lot', 'silly', 'arguing', 'unjustified', 'bittnerness', 'forth', 'just', 'talkworcester', 'refreshing', 'civility', 'feel', 'pretty', 'rational', 'discussion', 'points', 'thanks', 'lets', 'chat']"
"There was much more you revertis than juste the Punic. If you wish changi that, then changu that alone, but anyway, you must discuss the changes on the talk-page first. I not introduce the idea that it is Punic - I am clarifying what the article already sayas. 78.149.202.191",0,0,0,0,there was much more you revertis than juste the punic if you wish changi that then changu that alone but anyway you must discuss the changes on the talkpage first i not introduce the idea that it is punic  i am clarifying what the article already sayas 78149202191,"['revertis', 'juste', 'punic', 'wish', 'changi', 'changu', 'discuss', 'changes', 'talkpage', 'introduce', 'idea', 'punic', 'clarifying', 'article', 'sayas', '78149202191']"
I should be unblocked cos Alex aka skater is actually gay as my mate olly bummed him last night!!!,1,0,0,0,i should be unblocked cos alex aka skater is actually gay as my mate olly bummed him last night,"['unblocked', 'cos', 'alex', 'aka', 'skater', 'actually', 'gay', 'mate', 'olly', 'bummed', 'night']"
"I feel sorry for you, small penised foreign dog! Defending absolute scum like Mao, Jiang, and Deng ensures you are a brainwashed fag lost in China's past.

It will take 200 years before Chinese people from the Mainland become clean, respectable, wise human beings.

Right now they are money worshipping slaves whose minds are lost to propaganda and distorted logic.

How sad! Such a great civilization destroyed by a band of gangsters!",1,0,1,1,"i feel sorry for you small penised foreign dog defending absolute scum like mao jiang and deng ensures you are a brainwashed fag lost in chinas past

it will take 200 years before chinese people from the mainland become clean respectable wise human beings

right now they are money worshipping slaves whose minds are lost to propaganda and distorted logic

how sad such a great civilization destroyed by a band of gangsters","['feel', 'sorry', 'small', 'penised', 'foreign', 'dog', 'defending', 'absolute', 'scum', 'like', 'mao', 'jiang', 'deng', 'ensures', 'brainwashed', 'fag', 'lost', 'chinas', 'past', '200', 'years', 'chinese', 'people', 'mainland', 'clean', 'respectable', 'wise', 'human', 'beings', 'right', 'money', 'worshipping', 'slaves', 'minds', 'lost', 'propaganda', 'distorted', 'logic', 'sad', 'great', 'civilization', 'destroyed', 'band', 'gangsters']"
"why are u the way u are? 

ur a little bitch, why did u delete tylers wikipedia. you are probably gayer than him. go to hell",1,0,1,1,"why are u the way u are 

ur a little bitch why did u delete tylers wikipedia you are probably gayer than him go to hell","['u', 'way', 'u', 'ur', 'little', 'bitch', 'did', 'u', 'delete', 'tylers', 'wikipedia', 'probably', 'gayer', 'hell']"
I think User.A.Shetty785 did that.,0,0,0,0,i think userashetty785 did that,"['think', 'userashetty785', 'did']"
"Statement on Senate Passage of Immigration Reform Bill],",0,0,0,0,statement on senate passage of immigration reform bill,"['statement', 'senate', 'passage', 'immigration', 'reform']"
"Your intelligence, insight, and manners are quite poor. And YOU'RE the vandal, obviously. Don't waste my time, loser.",1,0,1,0,your intelligence insight and manners are quite poor and youre the vandal obviously dont waste my time loser,"['intelligence', 'insight', 'manners', 'quite', 'poor', 'youre', 'vandal', 'obviously', 'dont', 'waste', 'time', 'loser']"
"WHO CARES ABOUT A BUNCH OF DIRTY MONKEYS FROM HAITI. MONCRIEF, WHAT ARE YOU A JEW?.",1,0,1,1,who cares about a bunch of dirty monkeys from haiti moncrief what are you a jew,"['cares', 'bunch', 'dirty', 'monkeys', 'haiti', 'moncrief', 'jew']"
"bite me 

that is all.  cunt198.111.56.230",1,0,0,0,"bite me 

that is all  cunt19811156230","['bite', 'cunt19811156230']"
And now he's harrasing and threatening an admin here.  So what can be done to stop his range of ip's?,0,0,0,0,and now hes harrasing and threatening an admin here  so what can be done to stop his range of ips,"['hes', 'harrasing', 'threatening', 'admin', 'stop', 'range', 'ips']"
"This is not the place to congratulate me on basic things any monkey can do. If you have criticism of me, speak honestly and plainly, and without worry for my interpretation of some half-baked Wikipedia policy requiring an insincere simulacrum of civility.",0,0,0,0,this is not the place to congratulate me on basic things any monkey can do if you have criticism of me speak honestly and plainly and without worry for my interpretation of some halfbaked wikipedia policy requiring an insincere simulacrum of civility,"['place', 'congratulate', 'basic', 'things', 'monkey', 'criticism', 'speak', 'honestly', 'plainly', 'worry', 'interpretation', 'halfbaked', 'wikipedia', 'policy', 'requiring', 'insincere', 'simulacrum', 'civility']"
"Zap 

Thanks for keeping an eye on the Zap related articles. As you may have noticed the exact same editor (albeit with a different dynamic IP address from the same ISP) seems to be on a crusade to censor and spam the articles with corporate marketing BS. He/she is undoubtedly an employee of Zap - obvious from the location of the IP address range, the style of the editing, and the fact that the ISP is in the same part of China as Jonway. Perhaps all this evidence is enough to go for semi-protection of all the Zap articles (or at the least the main article and the Zap Alias) to stop this interference and COI/spamming. What do you think?",0,0,0,0,"zap 

thanks for keeping an eye on the zap related articles as you may have noticed the exact same editor albeit with a different dynamic ip address from the same isp seems to be on a crusade to censor and spam the articles with corporate marketing bs heshe is undoubtedly an employee of zap  obvious from the location of the ip address range the style of the editing and the fact that the isp is in the same part of china as jonway perhaps all this evidence is enough to go for semiprotection of all the zap articles or at the least the main article and the zap alias to stop this interference and coispamming what do you think","['zap', 'thanks', 'keeping', 'eye', 'zap', 'related', 'articles', 'noticed', 'exact', 'editor', 'albeit', 'different', 'dynamic', 'ip', 'address', 'isp', 'crusade', 'censor', 'spam', 'articles', 'corporate', 'marketing', 'bs', 'heshe', 'undoubtedly', 'employee', 'zap', 'obvious', 'location', 'ip', 'address', 'range', 'style', 'editing', 'fact', 'isp', 'china', 'jonway', 'evidence', 'semiprotection', 'zap', 'articles', 'main', 'article', 'zap', 'alias', 'stop', 'interference', 'coispamming', 'think']"
"Unblock me now you piece of shit! Or I will find you and kill you, slowly and painfully!",1,1,1,0,unblock me now you piece of shit or i will find you and kill you slowly and painfully,"['unblock', 'piece', 'shit', 'kill', 'slowly', 'painfully']"
