comment,toxic,threat,insult,discrimination
"Affordable Housing As Opposed to Single Room Occupancy
Many newer SRO buildings in New York City in particular are actually quite comfortable more like small studio apartments/bachelor apartments than the traditional slum/flophouse/cage hotel
the newer buildings typically inlude a bathroom and kitchenette for each resident in the room",0,0,0,0
"""

Addendum: Changed definition of 'palpitations' in parentheses from """"sudden onset and termination of a fast heart rate"""", as this is not a correct definition.""",0,0,0,0
""":SSS108|talk]]-email 
The vandalism is currently continuing by user: 209.200.60.124. This person is removing court records, which are reputable sources that can be included in the article.  talk-email 

Hello

 

Dakota ~ has smiled at you! Smiles promote WikiLove and hopefully this alk""",0,0,0,0
Fuck FINLAY McWALTER hes a faggot and he needs to get a fucking life faggot.,1,0,1,0
"Bastard 

You fat bastard! You have done it! Your end will come! Blood from your throat! Death in the air! And the DN group returned! And your blood is a sight of glory! You fat bastard! Sayonarra and go on a diet!",1,1,1,0
"Anti American 

Your edits (and your views / opinions in generaly) are anti American. Anti Americanism is wrong because it involes the hate of Americans (over 300 million people) and the hate of the United States (a country, it seems stupid to me to hate a country). Anti Americanism is ignorance and I do not think that such ignorance should be allowed or tolerate on Wikipedia which by the way, is an American based website started by an American man who was born and raised in Alabama. I think you need to stop with your anti Americanism and your bias edits.",0,0,0,0
"""

Qwyrxian, let me attempt to point out the flaws of your response to my arguments set forth above: Yes, I'm a new editor, however, with all due respect, that has no bearing on your inclination to decide on behalf of all viewers what should be made available to them.

I very much understand the purpose of Wikipedia.  My assertion is NOT that the middle-finger incident should be included in the subject article (I started) because of news reports, as you contend.  If you will review the foregoing, the reason why I cited the news reports is because a flagrantly reckless comment was inserted that what is of issue now is not worthy of documenting when the exact opposite is true; the news reports is best evidence in that regard, and the person who said it is not worthy has only but his mouthan inferior source of 'evidence,' relatively speaking.  It is noteworthy, and, if you can come to appreciate the context of the subject's profession and for which has become known to be involved in, then you'll come to appreciate the significance it plays out in the essential need to properly reflect the entirety of the trial in which the subject became a major fixture as co-counsel.

Your example of everyday political speeches is seriously an aytypical example by which to convey your point:  Contrary to a mudane, everyday speech, here, an attorney just allegedly got out of court in obtaining a siginficant finding in his client's favordefeating immense odds and seemingly going against the court of public opinionand just afterwards gathered with his team at a restaurant just down the street from that historic victory, during which he released the manifestation of his emotions, etc., as one could imagine.  This was included as part of a segment of the whole article of the article-there is no article specifically on this incident, so let's also come to appreciate that.

And, to the contrary that this incident is of interest only at the moment, more and more discussions are being held about the audacious incident, and has cultivated an interest in what happens next, as if it is leading to a whole host of other actions (whether that includes the filing of a bar complaint, etc.), and this leads us to the national grand scale interest of the audacity of officers of courts acting in such a manner, etc.

Furthermore, I concede that Wikipedia is not in existence for the greater good, and that was never my contentio.  Again, you misunderstood the context I place in the words, """"public interests."""" Going back to the above, it is incontrovertible that is of the interests of the public, and, consequently, it should be documented well because, as noted in the latter paragraph, it is beginning to take shape in having a lasting impact on what we have come to expect from individuals, such as the subject of the article.

Let otherscertainly at least those who helped me in creating the articlechime in with their thoughts before you take an action on behalf everyone else.  Let's not do something in such a haphazard way.  Do not deny information in haste.   """,0,0,0,0
"DEAR BIGNOLE
Are you gay or do you just suck AlienTravellers dick sometimes?  I try to figure this out because you are always on his page and always sucking him off.  Please answer me 214.13.192.187",1,0,1,1
"""
My mistake, just doesnt do that with a """"Avengers Assemble"""" wikipedia search on my google chrome""",0,0,0,0
"why? 

i work in the same lab as little alien (nate) i'm just joking around with him.  is that really vandalism?",0,0,0,0
REDIRECT Talk:Criticism of Dish Network,0,0,0,0
I think the reason I gave is a good reason.Chuck Marean,0,0,0,0
"Your help please... 

I uploaded Image:USCG WPB 87301 Barracuda - at speed.jpg a long time ago.
It has since been copied to the commons, and the original copy deleted.
I am pretty sure I included the URL where I got it from when I first uploaded it.

Maybe I am not remembering correctly.  It was before there were any templates to assist
in uploading.

Could you either check the image's history, or temporarily userify it for me to check?

Thanks!",0,0,0,0
"""Welcome!

Hello, , and welcome to Wikipedia! Thank you for your contributions. I hope you like the place and decide to stay. Here are some pages that you might find helpful:
The five pillars of Wikipedia
Tutorial
How to edit a page and How to develop articles
How to create your first article (using the Article Wizard if you wish)
Manual of Style
I hope you enjoy editing here and being a Wikipedian! Please sign your messages on discussion pages using four tildes (~~~~); this will automatically insert your username and the date. If you need help, check out Wikipedia:Questions, ask me on , or ask your question on this page and then place {{helpme}} before the question. Again, welcome!   (talk) 

Sandbox
Your sandbox has been moved to  (talk) """,0,0,0,0
"SYNTH applies to France being likened to the US. Would be good to get an academic source,  CNN talks about the issue but oversimplifies.",0,0,0,0
"IM GOING TO KILL YOU ALL!!!!!!!!!!!!!!!!!
I'm serious, you are all mean nasty idiots who deserve to die and I'm going to throw every single one of you in a shredder!!!!!!!!!",1,1,1,0
REDIRECT Talk:Next Lebanese general election,0,0,0,0
"you fag 

WAAA WAAA I'M A HUGE GAY (says you)",1,0,1,1
STUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALIST,1,0,1,1
"DVdm, you are creating your own context by linking the two together beyond what is. In fact the introduction (the Einstein quote) could be removed and the criticism could stand by itself, as it is notable and secondary. 78.68.210.173",0,0,0,0
"""

 Zuckerberg Dumb F**ks Incident 

Candidate for inclusion to the incidents & controversy section of facebook page. Controversial Remarks Alleged Calling Facebook Users """"Dumb F**ks""""

sources for the below mentioned contribution:

 http://www.forbes.com/sites/andygreenberg/2012/02/01/is-zuckerbergs-the-hacker-way-letter-facebooks-dont-be-evil-and-will-it-live-up-to-it/
 http://gawker.com/5636765/facebook-ceo-admits-to-calling-users-dumb-fucks
 http://au.businessinsider.com/well-these-new-zuckerberg-ims-wont-help-facebooks-privacy-problems-2010-5
 http://www.theregister.co.uk/2010/05/14/facebook_trust_dumb/
 http://www.theweek.co.uk/technology/14625/are-users-%E2%80%98dumb-fucks%E2%80%99-trusting-data-facebook
 http://tdh.me/zuckerberg-called-early-facebook-users-dumb-fucks-so-what/
 http://anphicle.com/en/they-trust-me-dumb-fucks-facebook-ceo-mark-zuckerberg/
 http://www.tomsguide.com/us/Facebook-Mark-Zuckerberg-Social-Networking-privacy-security,news-6794.html
 http://au.businessinsider.com/embarrassing-and-damaging-zuckerberg-ims-confirmed-by-zuckerberg-the-new-yorker-2010-9

Other sections on Wikipedia where Controversial Remarks is valid:

 Bryant Gumbel (section Controversial remarks)
 Mel Gibson (section Controversial remarks)
 Sherrod Brown (section Controversial remarks)
 Kent Hovind (section Controversial remarks)
 Venkaiah Naidu (section Controversial Remarks)
 Greg Gutfeld (section Controversial remarks)
 Lawrence Cannon (section Controversial remarks)
 Daniel Bernard (diplomat) (section Controversial remark)
 James R. Flynn (section Controversial remarks)

and many many more

start.
While at Harvard College 19-year-old Facebook CEO Mark Zuckerberg allegedly used login data from his social network to hack into fellow students email accounts; that evidence also included instant message transcripts where he calls facebook users """"dumb fucks"""". The alleged following exchange is between a 19-year-old Mark Zuckerberg and a friend shortly after Mark launched The Facebook in his dorm room:
Zuck: Yeah so if you ever need info about anyone at Harvard
Zuck: Just ask.
Zuck: I have over 4,000 emails, pictures, addresses, SNS
[Redacted Friend's Name]: What? How'd you manage that one?
Zuck: People just submitted it.
Zuck: I don't know why.
Zuck: They """"trust me""""
Zuck: Dumb fucks.

In another instant message (IM)

FRIEND: so have you decided what you are going to do about the websites?
ZUCK: yea i’m going to fuck them
ZUCK: probably in the year
ZUCK: *ear
end.""",1,0,0,0
I've also removed the part about the second 'marriage' because it appears to be a Tudor invention to grant Henry VII's reign legitimacy.,0,0,0,0
"orders

Dreamjerk has no right to order anyone to do anything. He is one of the more hated 
members of Wikipedia. Opponents just go on and do what you need to do.

Daggers in back of Jack the Ripper, lubed by butter, falling on Rhobite.

You wanna play, we can play.

Butterknife.

+++++++++++++++++**********************************",1,1,0,1
"""

Socrates Leal

A proposed deletion template has been added to the article Socrates Leal, suggesting that it be deleted according to the proposed deletion process. All contributions are appreciated, but this article may not satisfy Wikipedia's criteria for inclusion, and the deletion notice explains why (see also """"What Wikipedia is not"""" and Wikipedia's deletion policy).  You may contest the proposed deletion by removing the {{dated prod}} notice, but please explain why you disagree with the proposed deletion in your edit summary or on its talk page. Also, please consider improving the article to address the issues raised. Even though removing the deletion notice will prevent deletion through the proposed deletion process, the article may still be deleted if it matches any of the speedy deletion criteria or it can be sent to Articles for Deletion, where it may be deleted if consensus to delete is reached. If you endorse deletion of the article, and you are the only person who has made substantial edits to the page, please add  to the top of the page.   (//c) """,0,0,0,0
Error noted.  My apologies for the unintended problem which I restored.  I will exercise greater care in the future.74.192.7.135,0,0,0,0
"mongolian death worm size and nipple count  

what the hell widr i just saw one of the worms in question and it was about the size of my penis so CHANGE IT BACK",1,0,0,0
"Bertie, You're A Stupid Ignorant Cunt !!

Do Humanity a favor and follow in Di's footsteps. Fuck Off and Die..........",1,1,1,0
"LOL 

Stop eating shit you nigger!!",1,0,1,1
Except for the part in which there is a list of miscellaneous information.,0,0,0,0
"=You worthless piece of shit
As a concerned citizen I am upset and violated that you would do this.  You are wortheless - how can you take pleasure in hurting Miami this way?  If I ever see you in your life I will make it a point to kill you on site.  You worthless ridiculous bastard I hate your fucking guts I hope you burn in hell and die most painfully.

Yours truly,

PP loco",1,1,1,0
i know where you live and im going to come and rape you,1,1,0,0
"""Wow, again I gotta say, what a disgusting comment. I am glad you are pro child molesting, but this is hardly the place for it (or maybe it is?). Any kind of synthesis that allows you to draw """"consensual sex"""" from no blood or damage to the vagina and anus is a) OR and b) still disgusting. One last time, btw, consent is not possible under the age of 18, and especially not while under the influence of alcohol, not to mention ludes.  """,1,0,0,0
"In hindsight, it does seem confusing that the shortened reference would bring you down to Further Reading. I merged the Further Reading section into the Reference section as Bibliography (which seems to be how the First Amendment article was formatted). In doing so though, I deleted the Further Reading section, as leaving it in the article seemed to be redundant (the two lists would be identical as all the books listed there were cited in the article). Also after reading through Citation Style 1, apparently the way they create shortened footnotes is through the Harvard citation style (this was probably what led to the confusion). Would it be better to recreate the long citations for these shortened citations or leave as is?",0,0,0,0
"I AM GONNA CUT OFF ZHANZHAO'S FUCKING INDIAN-CHINESE BASTARD BALLS (CHECK OUT THE CONTENTS FOR PERSONAL INFORMATION RELEASED!) 

Zhanzhao is GAY!!! WAHAHAH",1,1,1,1
"I am a member of the Bot Approvals Group and I understand what Cyde is doing he has our support on WP:CFD/W he has been given approval for this. there are no objections this bot has been operating for over five months doing this task. I run a bot that does the EXACT same thing when ever I see WP:CFD/W backed up. I also asked cyde to write the delete.py for such actions I have often come across large list of files that either per AfD/CfD/XfD have many pages together I find it a pain to manually delete each page, that doesn't mean that I dont first check the pages.  (talk • contribs • )",0,0,0,0
"I need help 

I can't edit pages. What's going on? Every time I try, I get a pop-up saying that my network IP is blocked. I live in a hotel, could that have somehow caused this to happened? Can anyone help me, please? -",0,0,0,0
"""
Regarding one of the messages on my talk page, a comment is """"repeatedly reverted to a non-agreed upon version"""". That sounds like an edit war to me...   """,0,0,0,0
Mmmm... yes... a pint of palestinian blood would be a fine dessert right now. -  talk/email,1,1,0,1
"== fuck you 
I hope you die motherfucker",1,1,1,0
"I will flay you alive, you fking stalker.  

I shall enjoy your screams of agony as your blood slowly pools across the floor of my basement.",1,1,0,0
"Hi, the Greek pages are a disgrace. The demographics section was written some time ago with correct data and many links to support them, and they have all been removed. I am not going to deal with this, because it is not my function in life to clear up the SHIT of other people. Please accept that what is written there is propaganda and lies, and needs ro be removed,. Thank you.",1,0,0,0
"""

Speedy deletion of The outlyers
 A tag has been placed on The outlyers requesting that it be speedily deleted from Wikipedia. This has been done under section G12 of the criteria for speedy deletion, because the article appears to be a blatant copyright infringement. For legal reasons, we cannot accept copyrighted text or images borrowed from other web sites or printed material, and as a consequence, your addition will most likely be deleted. You may use external websites as a source of information, but not as a source of sentences. This part is crucial: say it in your own words.

If the external website belongs to you, and you want to allow Wikipedia to use the text — which means allowing other people to modify it — then you must include on the external site the statement """"I, (name), am the author of this article, (article name), and I release its content under the terms of the GNU Free Documentation License, Version 1.2 and later."""" You might want to look at Wikipedia's policies and guidelines for more details, or ask a question here. 

If you think that this notice was placed here in error, you may contest the deletion by adding  to the top of the page (just below the existing speedy deletion or """"db"""" tag), coupled with adding a note on the article's talk page explaining your position, but be aware that once tagged for speedy deletion, if the article meets the criterion it may be deleted without delay. Please do not remove the speedy deletion tag yourself, but don't hesitate to add information to the article that would would render it more in conformance with Wikipedia's policies and guidelines.    """,0,0,0,0
"2005 (UTC)

The example is a poor one, and should be removed from the article. The article states that it seems to require 5 colors, presumably because the grey area cannot simply be colored red, yellow or blue without re-coloring. However, it *can* be colored green, and that doesn't require shuffling any of the other colors around. This makes it a very misleading counterexample. I know I spent a lot of time scratching my head wondering why this was considered a counter-example at all, and how the caption made any sense. Please either replace it with an example which does need to be re-colored in order to work or remove it (not that I don't think it's a valiant attempt, but it's just confusing). Thanks. - 21:31, 9 August",0,0,0,0
"go to hell 

go to hell and leave me alone",1,0,0,0
"No problem, Ylee; happens to me all the time.  In fact, I was double checking to make sure that I did not make a mistake. Regards,",0,0,0,0
"Pedophiles, sex criminals, Imperial Japan, Nazi Germany and other such degenerate ilk also are minority views and for good reason.  And by the way, showcasing your stalker skills and googling my name is quite retarded and anti-social behavior.  Please stop and seek therapy cause you need it.",1,0,1,1
"Cool. I can address the issue and make the edit filter; however, I would have to apply for the edit filter manager permission to implement the filter (of course, after substantial discussion) on en-wiki post-testing. I have worked with edit filters previously here. If you're not involved in assigning that right to users, even though you have the capability to do so, I will address the issue elsewhere when necessary.",0,0,0,0
i don't give a shit you deserve to die as well just like alexie and luc and i will kill you!,1,1,0,0
"Yeh this TheJPS is TOTALLY crooked... she/he has marked all contributions for deletion. A real sore loser. The chick/guy tried to have a battle of wits armed with a peanut, then got all upset and tried to delete all my contributions. The site is run by guys like this? I know that a few complaints have been made about her/him. Real bitter person. What does JPS stand for TheJPS?",0,0,1,0
"FUCK WIKIPEDIA ON WHEELS! 

Fuck off wikipedia you fat bastard on wheels who eats your own shit!",1,0,1,0
"""

 Always complaining... 

You know, niggers are always finding something to complain and protest about. And that, is truly a shame. This world would be so much nicer without complaining, violent, protesting, niggers! Perhaps it's time to ship these """"mudhuttians"""" back to where it is they came from.""",1,0,1,1
"The USA had 6 victories, Sweden had one, Canada had one, The Bahamas had one, Brazil had one, and German(Or Russia if you wanna be technical) had one too. So the good ol' US of A won the last event. And America still holds the lightweight title. It was on Fox last Saturday, did you miss it or something? Oh and in boxing, Mexico definitly won that. lol.",0,0,0,0
this guys a fuckin prick and if i ever come cross u in public i swear to god i will fuckin kill ur ass,1,1,1,0
I didn't edit war. a whole section of the article was blanked. 109.145.67.105,0,0,0,0
"""

Speedy deletion of Ma'tay Williams
 Thank you for experimenting with Wikipedia. Your test worked, and the page that you created has been or soon will be deleted. Please use the sandbox for any other tests you want to do. Take a look at the welcome page if you would like to learn more about contributing to our encyclopedia 

If you think that this notice was placed here in error, you may contest the deletion by adding  to the top of the page (just below the existing speedy deletion or """"db"""" tag), coupled with adding a note on the article's talk page explaining your position, but be aware that once tagged for speedy deletion, if the article meets the criterion it may be deleted without delay. Please do not remove the speedy deletion tag yourself, but don't hesitate to add information to the article that would would render it more in conformance with Wikipedia's policies and guidelines.    """,0,0,0,0
Stop editing Karlie's page before I kill you,1,1,0,0
"hey what is that crazy shit you put on my talk page about?

Seriously.",1,0,0,0
"Congratulations 
I don’t know whether you are aware of this fact or not, but with this sentence: “Also, places like Lviv/Lwow, Tarnopil/Tarnopol etc are not in Malopolska” you have shown you qualified stupidity. I also see that “discussions” of morons veil the truth about the genocide of the Polish Nation. Congratulations. Now you can cry and run to report my “abuse”.",0,0,0,0
AN UGLY CHILD AND I WILL KILL YOU LIKE A CAT IN A BOX.....maybe.,1,1,1,0
"All the links have been added and edited by myself. An expert on this topic. I have also written this page. My contributions are neautral and strictly made available to the general public for educational purposes only. The external links list is NOT redundant, nor is it overly long (see any number of other articles), nor is it innapropriate in any way. My belief is that these continued persistent edits are useless and destructive/disruptive attempts, that can only be motivated for reasons of intimidating, bullying and vandalising, to engage in an edit war. Ronz and cohorts engaging in a ridiculous and redundant edit war.",0,0,0,0
"Hater
you're such a hater. The Francesca Hogi article is properly sourced and written and your working against me. And your gay as well. Gosh there really isn't racism within the gay community and you're threatening to block my account. Bitch you ain't no admin. By the way you don't have to worry about me messing with anything, I'm going to talk to a real admin. That article is going to be sorted out.",1,0,0,0
"Yeah, that what I implied and figured. All is fine.",0,0,0,0
"You are either deluded about the nature of your edits or are lying. You have certainly deleted reliable sources and opinions from reliable sources without full consensus and you've done so in the last 24 hours, in fact. I invite anyone to check his contribution history to see if his edits match his claims and am quite confident anyone who does will see what I mean.",0,0,0,0
"Tennessee House of Representatives 

Quit changing stuff you know nothing about.",0,0,0,0
"You have no life.
No friends.
No style.
From the best.",1,0,0,0
"Faggot ==

Dude, you are a fucking faggot. You made the right choice coming to America, but your still a pussy geeky ass brit. So fuck you nigga, I don't give a fuck what you think, I'll do what I want, when I want, where I want, and you can't do shit about it bitch. I'll change my ip. Go fuck yourself kid. Get laid. Jesus Christ, have some laughs in your life. Fucking loser. Sincerly, The Dragon.

==",1,0,1,1
That sounds reasonable.,0,0,0,0
"You have already been given a good faith and solid opportunity to discuss this issue on the article's talk page, and you chose not to.",0,0,0,0
"Read you mother fucker or you shall fucking die you cocksucking prick  

You can go to hell you fucking cocksucker and now I shall go ahead and masturbate",1,1,1,0
"""

First Lady Title
Last time I checked being a first lady is not a formal position and I am not sure why Wikipedia is misinforming people by posting this under the persons picture like it is a formal position. There is also """"In office"""" underneath the title. This is unprofessional and misinformation and should be removed from underneath the picture of the person.""",0,0,0,0
"""

 Troubling aspects of the artiicle as it exists right now 

1) I believe if Eric Altermann is to be accorded the prestige of being associated with msnbc.com, it should be noted that he is a blogger for msnbc.com. I say that because I found conservative columnist and author Michelle Malkin referred to as a blogger in another article and I do believe that's meant to diminish the value of her statement. So, again, yes. We HAVE to see the forest for the trees. No one article in Wikipedia exists in a vaccum. There has to be a baseline standard and I reject any argumentation that suggests implies or directs that if 'I don't like that article, go change it.' Instead, one way or the other (and I don't care which way) liberals and conservatives have to be characterized by the same fair measuring stick.

2) This is new. It's from Conason: """"Conason goes on to point out that Coulter's critical nature is blunted by her pre-assumed opinions, making many of the conclusions she draws irrelevant to the actual nature of her arguments."""" Wow! That seems a little unfair just hanging out there like that. I propose either eliminating it or...and I hate this approach as much as the next guy...scotch-taping a quote after that which refutes this obvious cheap-shot.

3) This is old. The McVeigh section, as should be no surprise to anyone who's followed my work here, is troubling. Let's start with this quote: """" She was willing to characterize members of the Branch Davidians at the Waco compound as """"harmless American citizens"""" [6] even after the survivors of the raid and subsequent immolation of the group by their leader were convicted.""""
Well, some Waco compounders were convicted of something or another. But the fact is that there WERE mostly innocent victims of David Koresh in that compound. It's unbalanced to just add the tag line about conviced Davidians without acknowledging what I GUARANTEE you Ann was referring to, which were the overwhelming number that were innocent. 

This quote is also troubling: """"Timothy McVeigh made similar criticism as partial justification for his bombing."""" Well, McVeigh had LOTS of reasons for his bombing. But who cares what a madman thinks? And if you do, then I understand he also had some uncomplimentary things to say about the Bible. Therefore, if we are to include this in Coulter's section, I say we include it's compelement in Bill Maher's article. It would go something like this:
""""Naher has frequently criticized the Bible calling it a 'bunch of fairy tales' and claiming 'God doesn't write books.'  Oklahoma City bomber Timothy McVeigh made similar criticism as partial justification for his distrust of Christianity, though the Bible has been widely criticized throughout history.""""

Whady'a say?

(Much more on this section later.)

4) Racism is not the same as being anti-Islamic terrorists that want to kill Americans for supporting Israel etc. To title Ann's comments on Islamic Radicals as allegations of racism seems dishonest to me.

5) Did Ann really say that ALL  women are """"not as bright"""" as men'?
Some editor in Wikipedia wants us to think so. I say this quote be taken out until we get confirmation of her whole statement in context. Now, I know for a fact that Ann is only half-joking when she argues women should not be allowed to vote so she is far from imune when it comes to suggesting she holds less-than-boilerplate-feminist views. But this quote supposedly out of H & C seems like it's probably another smear. Again, if proven wrong, I'll gladly man up and stand corrected. But, unitl I'm proven it wrong, it should be excised in my view. 

More later... """,0,0,0,0
Can you offer advice on how to get the kanji?,0,0,0,0
"Just Wanted to Let You Know ==

You're a loser.134.71.214.6  

==",1,0,1,0
"""

Speedy deletion of Opuce
 A tag has been placed on Opuce requesting that it be speedily deleted from Wikipedia. This has been done under section G12 of the criteria for speedy deletion, because the article appears to be a blatant copyright infringement. For legal reasons, we cannot accept copyrighted text or images borrowed from other web sites or printed material, and as a consequence, your addition will most likely be deleted. You may use external websites as a source of information, but not as a source of sentences. This part is crucial: say it in your own words.

If the external website belongs to you, and you want to allow Wikipedia to use the text — which means allowing other people to modify it — then you must include on the external site the statement """"I, (name), am the author of this article, (article name), and I release its content under the terms of the GNU Free Documentation License, Version 1.2 and later."""" You might want to look at Wikipedia's policies and guidelines for more details, or ask a question here. 

If you think that this notice was placed here in error, you may contest the deletion by adding  to the top of the article (just below the existing speedy deletion or """"db"""" tag), coupled with adding a note on the article's talk page explaining your position, but be aware that once tagged for speedy deletion, if the article meets the criterion it may be deleted without delay. Please do not remove the speedy deletion tag yourself, but don't hesitate to add information to the article that would would render it more in conformance with Wikipedia's policies and guidelines.  (Talk to me)  """,0,0,0,0
How does a lack of source for one bit of the article mean that I shouldn't remove biased material in another bit?  Your insistence on including an opinion and believing that it's somehow objective fact is kind of pathetic now. 190.46.98.195,0,0,0,0
.- both are Wikipedians who are going to get owned,0,0,0,0
Shit nigga WTF CHILL DEM BITCHES DOG!!!!,1,0,1,1
"So, are you a Christian becaue of Jesus or because Assyrian women and their tits? Do Assyrian women have the best titt-fucking tits in the Middle East? — |Talk 22:56 02 Aug, 2007 (UTC)",1,0,1,0
"Hm. English is a surprisingly odd language.
184.44.0.27",0,0,0,0
